AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,AnalyzerName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes,AnalyteNumber,AnalyzerDescription,CalculatedConcentrationStatus,DilutedConcentration,DilutedConcentrationStatus,NonlimitedCalculatedConcentration
CRP,0.465,689,31195,,2526128.965,3.422,86434.459,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2525797.146,135.601,0.465,136.065,2632154.645,141.731,0.465,142.195,2420435.103,129.534,0.465,129.999,3,,1,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,135.622,3.671,4.979,8/7/17 14:35,Ella,1,Unknown,136.087,PlasmaSerum,1,,IR,2806.81,IR,2526128.965
CRP,0.455,689,31195,,405488.968,1.755,7115.851,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,415304.659,18.678,0.455,19.133,402502.626,18.042,0.455,18.497,398659.619,17.852,0.455,18.306,3,,2,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.191,1.942,0.353,8/7/17 14:35,Ella,2,Unknown,18.645,PlasmaSerum,1,,IR,450.543,IR,405488.968
CRP,0.454,689,31195,,1058270.479,0.518,5482.549,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1065546.835,52.938,0.454,53.392,1056951.461,52.467,0.454,52.921,1052313.141,52.214,0.454,52.668,3,,3,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,52.54,0.571,0.3,8/7/17 14:35,Ella,3,Unknown,52.994,PlasmaSerum,1,,IR,1175.856,IR,1058270.479
CRP,0.457,689,31195,,917104.844,0.223,2044.882,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,915969.738,44.805,0.457,45.262,919975.864,45.021,0.457,45.478,915368.929,44.773,0.457,45.23,3,,4,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,44.866,0.246,0.11,8/7/17 14:35,Ella,4,Unknown,45.323,PlasmaSerum,1,,IR,1019.005,IR,917104.844
CRP,0.461,689,31195,,754570.426,1.932,14575.497,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,774800.053,37.241,0.461,37.702,747881.885,35.813,0.461,36.274,741029.342,35.451,0.461,35.911,3,,5,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,36.168,2.137,0.773,8/7/17 14:35,Ella,5,Unknown,36.629,PlasmaSerum,1,,IR,838.412,IR,754570.426
CRP,0.453,689,31195,,1971832.331,1.604,31632.983,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2007567.405,105.85,0.453,106.302,1977271.913,104.119,0.453,104.572,1930657.675,101.459,0.453,101.911,3,,6,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,103.809,1.74,1.806,8/7/17 14:35,Ella,6,Unknown,104.262,PlasmaSerum,1,,IR,2190.925,IR,1971832.331
CRP,0.444,689,31195,,3059203.918,2.495,76316.814,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3060052.691,166.428,0.444,166.873,3152245.269,171.752,0.444,172.196,2965313.796,160.957,0.444,161.402,3,,7,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,166.379,2.649,4.407,8/7/17 14:35,Ella,7,Unknown,166.824,PlasmaSerum,1,,IR,3399.115,IR,3059203.918
CRP,0.442,689,31195,,3532525.959,5.31,187565.555,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3756826.851,206.627,0.442,207.069,3297745.628,180.153,0.442,180.595,3543005.399,194.305,0.442,194.747,3,,8,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,193.695,5.584,10.817,8/7/17 14:35,Ella,8,Unknown,194.137,PlasmaSerum,1,,IR,3925.029,IR,3532525.959
CRP,0.422,689,31195,,1212659.055,1.164,14109.396,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1229487.68,61.964,0.422,62.386,1213529.712,61.081,0.422,61.503,1194959.775,60.054,0.422,60.476,3,,9,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,61.033,1.279,0.78,8/7/17 14:35,Ella,9,Unknown,61.455,PlasmaSerum,1,,IR,1347.399,IR,1212659.055
CRP,0.422,689,31195,,337302.072,1.963,6620.302,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,334783.777,14.719,0.422,15.141,330751.85,14.523,0.422,14.945,346370.588,15.282,0.422,15.704,3,,10,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,14.841,2.169,0.322,8/7/17 14:35,Ella,10,Unknown,15.263,PlasmaSerum,1,,IR,374.78,IR,337302.072
CRP,0.428,689,31195,,176261.735,1.121,1975.227,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,175637.751,7.247,0.428,7.676,178931.748,7.396,0.428,7.824,174215.706,7.183,0.428,7.612,3,,11,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,7.275,1.222,0.089,8/7/17 14:35,Ella,11,Unknown,7.704,PlasmaSerum,1,,IR,195.846,IR,176261.735
CRP,0.424,689,31195,,283024.365,1.476,4178.031,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,286766.114,12.408,0.424,12.832,277193.264,11.952,0.424,12.377,285113.716,12.329,0.424,12.754,3,,12,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,12.23,1.626,0.199,8/7/17 14:35,Ella,12,Unknown,12.654,PlasmaSerum,1,,IR,314.472,IR,283024.365
CRP,0.428,689,31195,,401705.893,1.436,5766.568,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,409373.874,18.383,0.428,18.811,400276.379,17.932,0.428,18.36,395467.425,17.694,0.428,18.122,3,,13,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.003,1.588,0.286,8/7/17 14:35,Ella,13,Unknown,18.431,PlasmaSerum,1,,IR,446.34,IR,401705.893
CRP,0.491,689,31195,,2324753.305,8.853,205804.083,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2060548.355,108.879,0.491,109.37,2562590.302,137.721,0.491,138.212,2351121.256,125.547,0.491,126.038,3,,14,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,124.049,9.53,11.822,8/7/17 14:35,Ella,14,Unknown,124.54,PlasmaSerum,1,,IR,2583.059,IR,2324753.305
CRP,0.613,689,31195,,,0.784,322339.363,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,41457802.07,1587.636,0.613,1588.249,41233950.72,1582.908,0.613,1583.521,40690147.85,1571.315,0.613,1571.929,3,,15,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,1580.62,0.434,6.857,8/7/17 14:35,Ella,15,Unknown,1581.233,PlasmaSerum,1,,OOR>,,OOR>,41127300.21
CRP,0.465,689,31195,,3047108.02,0.287,8751.693,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3059046.723,166.37,0.465,166.835,3038312.233,165.173,0.465,165.638,3043965.103,165.499,0.465,165.964,3,,16,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,165.681,0.305,0.505,8/7/17 14:35,Ella,16,Unknown,166.146,PlasmaSerum,1,,IR,3385.676,IR,3047108.02
CRP,0.461,689,31195,,411733.895,6.894,28383.283,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,400019.952,17.919,0.461,18.38,450839.983,20.454,0.461,20.915,384341.749,17.144,0.461,17.605,3,,17,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.506,7.638,1.413,8/7/17 14:35,Ella,17,Unknown,18.967,PlasmaSerum,1,,IR,457.482,IR,411733.895
CRP,0.468,689,31195,,3214882.726,1.754,56385.174,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3285430.184,179.442,0.468,179.91,3211799.428,175.191,0.468,175.659,3147418.567,171.473,0.468,171.941,3,,18,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,175.369,1.856,3.256,8/7/17 14:35,Ella,18,Unknown,175.837,PlasmaSerum,1,,IR,3572.092,IR,3214882.726
CRP,0.604,689,31195,,2174400.311,1.257,27323.092,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2193201.44,116.478,0.604,117.082,2194235.26,116.537,0.604,117.141,2135764.234,113.185,0.604,113.789,3,,19,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,115.4,1.357,1.566,8/7/17 14:35,Ella,19,Unknown,116.004,PlasmaSerum,1,,IR,2416,IR,2174400.311
CRP,0.489,689,31195,,1895570.321,1.447,27432.76,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1925773.282,101.18,0.489,101.669,1901556.047,99.8,0.489,100.288,1859381.633,97.397,0.489,97.886,3,,20,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,99.459,1.572,1.563,8/7/17 14:35,Ella,20,Unknown,99.948,PlasmaSerum,1,,IR,2106.189,IR,1895570.321
CRP,0.533,689,31195,,2382974.415,1.023,24387.264,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2384239.639,127.452,0.533,127.985,2412189.875,129.06,0.533,129.593,2352493.733,125.626,0.533,126.159,3,,21,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,127.379,1.101,1.403,8/7/17 14:35,Ella,21,Unknown,127.912,PlasmaSerum,1,,IR,2647.749,IR,2382974.415
CRP,0.471,689,31195,,1871557.914,0.633,11847.116,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1888172.316,99.037,0.471,99.508,1865122.208,97.724,0.471,98.195,1861379.219,97.511,0.471,97.982,3,,22,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,98.091,0.688,0.675,8/7/17 14:35,Ella,22,Unknown,98.562,PlasmaSerum,1,,IR,2079.509,IR,1871557.914
CRP,0.624,689,31195,,1386300.025,1.79,24814.223,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1417879.518,72.455,0.624,73.079,1383764.342,70.547,0.624,71.171,1357256.215,69.067,0.624,69.691,3,,23,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,70.69,1.962,1.387,8/7/17 14:35,Ella,23,Unknown,71.314,PlasmaSerum,1,,IR,1540.333,IR,1386300.025
CRP,0.463,689,31195,,730466.197,1.774,12957.138,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,747632.104,35.8,0.463,36.263,727435.707,34.732,0.463,35.195,716330.779,34.146,0.463,34.609,3,,24,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,34.893,1.962,0.685,8/7/17 14:35,Ella,24,Unknown,35.356,PlasmaSerum,1,,IR,811.629,IR,730466.197
CRP,0.542,689,31195,,3447734.395,1.752,60403.732,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3528896.214,193.491,0.542,194.034,3430229.135,187.799,0.542,188.342,3384077.837,185.136,0.542,185.679,3,,25,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,188.809,1.846,3.485,8/7/17 14:35,Ella,25,Unknown,189.351,PlasmaSerum,1,,IR,3830.816,IR,3447734.395
CRP,0.484,689,31195,,176143.484,1.962,3456.633,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,178158.289,7.361,0.484,7.845,171278.894,7.051,0.484,7.536,178993.268,7.398,0.484,7.883,3,,26,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,7.27,2.138,0.155,8/7/17 14:35,Ella,26,Unknown,7.755,PlasmaSerum,1,,IR,195.715,IR,176143.484
CRP,0.431,689,31195,,100277.201,1.83,1834.967,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,100480.344,3.968,0.431,4.399,102416.1,4.049,0.431,4.481,97935.161,3.861,0.431,4.292,3,,27,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,3.96,1.947,0.077,8/7/17 14:35,Ella,27,Unknown,4.391,PlasmaSerum,1,,IR,111.419,IR,100277.201
CRP,0.43,689,31195,,114233.115,2.235,2553.208,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,117821.366,4.704,0.43,5.134,112787.775,4.489,0.43,4.919,112090.205,4.459,0.43,4.889,3,,28,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,4.551,2.397,0.109,8/7/17 14:35,Ella,28,Unknown,4.981,PlasmaSerum,1,,IR,126.926,IR,114233.115
CRP,0.457,689,31195,,157971.972,1.153,1822.096,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,157332.032,6.429,0.457,6.886,160453.633,6.568,0.457,7.025,156130.252,6.376,0.457,6.833,3,,29,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,6.457,1.254,0.081,8/7/17 14:35,Ella,29,Unknown,6.914,PlasmaSerum,1,,IR,175.524,IR,157971.972
CRP,1.227,689,31195,,,0.408,47345.982,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,11607594.76,625.237,1.227,626.464,11677292.38,628.583,1.227,629.811,11562168.6,623.052,1.227,624.279,3,,30,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,625.624,0.364,2.275,8/7/17 14:35,Ella,30,Unknown,626.851,PlasmaSerum,1,,OOR>,,OOR>,11615685.24
CRP,0.692,689,31195,,886592.627,0.428,3795.726,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,883038.442,43.03,0.692,43.722,884885.88,43.129,0.692,43.821,891853.558,43.505,0.692,44.196,3,,31,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,43.221,0.473,0.204,8/7/17 14:35,Ella,31,Unknown,43.913,PlasmaSerum,1,,IR,985.103,IR,886592.627
CRP,0.431,689,31195,,390790.26,2.665,10415.328,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,405449.318,18.188,0.431,18.62,382214.697,17.039,0.431,17.471,384706.767,17.162,0.431,17.593,3,,32,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,17.463,2.95,0.515,8/7/17 14:35,Ella,32,Unknown,17.895,PlasmaSerum,1,,IR,434.211,IR,390790.26
CRP,0.963,689,31195,,6811463.444,2.212,150664.498,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,6985718.751,388.167,0.963,389.129,6830524.313,379.703,0.963,380.666,6618147.267,368.071,0.963,369.034,3,,33,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,378.647,2.176,8.238,8/7/17 14:35,Ella,33,Unknown,379.61,PlasmaSerum,1,,IR,7568.293,IR,6811463.444
CRP,0.985,689,31195,,1879970.021,4.023,75631.144,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1838748.629,96.223,0.985,97.208,1815107.315,94.879,0.985,95.864,1986054.119,104.621,0.985,105.606,3,,34,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,98.574,4.373,4.311,8/7/17 14:35,Ella,34,Unknown,99.559,PlasmaSerum,1,,IR,2088.856,IR,1879970.021
