AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,AnalyzerName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes,AnalyteNumber,AnalyzerDescription,CalculatedConcentrationStatus,DilutedConcentration,DilutedConcentrationStatus,NonlimitedCalculatedConcentration
CRP,1.978,689,31195,,,2.432,919252.57,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,39092383.57,1536.353,1.978,1538.332,37121302.82,1491.28,1.978,1493.259,37164110.83,1492.283,1.978,1494.261,3,,35,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,1506.639,1.395,21.015,8/7/17 14:35,Ella,35,Unknown,1508.617,PlasmaSerum,1,,OOR>,,OOR>,37792599.07
CRP,2.935,689,31195,,,1.589,114570.642,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,7374137.46,409.214,2.935,412.149,7135825.275,396.324,2.935,399.259,7126628.646,395.825,2.935,398.76,3,,36,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,400.454,1.548,6.198,8/7/17 14:35,Ella,36,Unknown,403.389,PlasmaSerum,1,,OOR>,,OOR>,7212197.127
CRP,1.237,689,31195,,5989037.8,1.462,87589.531,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,6091458.532,338.987,1.237,340.224,5877491.837,327.078,1.237,328.315,5998163.03,333.801,1.237,335.037,3,,37,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,333.289,1.463,4.875,8/7/17 14:35,Ella,37,Unknown,334.525,PlasmaSerum,1,,IR,6654.486,IR,5989037.8
CRP,1.225,689,31195,,5200918.328,0.783,40708.64,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,5249296.898,291.823,1.225,293.048,5203755.427,289.251,1.225,290.476,5149702.658,286.196,1.225,287.421,3,,38,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,289.09,0.796,2.3,8/7/17 14:35,Ella,38,Unknown,290.315,PlasmaSerum,1,,IR,5778.798,IR,5200918.328
CRP,1.066,689,31195,,3432059.003,0.714,24499.474,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3420375.069,187.231,1.066,188.297,3466148.988,189.872,1.066,190.938,3409652.951,186.612,1.066,187.678,3,,39,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,187.905,0.752,1.414,8/7/17 14:35,Ella,39,Unknown,188.971,PlasmaSerum,1,,IR,3813.399,IR,3432059.003
CRP,0.68,689,31195,,2852041.148,1.831,52225.283,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2806296.298,151.777,0.68,152.457,2824696.276,152.839,0.68,153.519,2925130.869,158.637,0.68,159.317,3,,40,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,154.418,1.952,3.015,8/7/17 14:35,Ella,40,Unknown,155.098,PlasmaSerum,1,,IR,3168.935,IR,2852041.148
CRP,0.573,689,31195,,1205570.42,5.504,66357.02,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1274870.352,64.481,0.573,65.054,1225720.278,61.756,0.573,62.329,1116120.63,55.711,0.573,56.284,3,,41,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,60.649,6.043,3.665,8/7/17 14:35,Ella,41,Unknown,61.222,PlasmaSerum,1,,IR,1339.523,IR,1205570.42
CRP,0.465,689,31195,,350883.92,5.208,18274.049,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,376666.573,16.766,0.465,17.231,336458.835,14.8,0.465,15.265,339526.353,14.949,0.465,15.414,3,,42,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,15.505,5.764,0.894,8/7/17 14:35,Ella,42,Unknown,15.97,PlasmaSerum,1,,IR,389.871,IR,350883.92
CRP,0.517,689,31195,,141897.315,2.501,3548.539,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,142830.192,5.789,0.517,6.306,137160.572,5.541,0.517,6.058,145701.181,5.915,0.517,6.432,3,,43,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,5.748,2.705,0.155,8/7/17 14:35,Ella,43,Unknown,6.265,PlasmaSerum,1,,IR,157.664,IR,141897.315
CRP,1.282,689,31195,,,0.646,54295.531,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,8390534.107,463.344,1.282,464.626,8473659.661,467.709,1.282,468.991,8342187.887,460.801,1.282,462.083,3,,44,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,463.951,0.615,2.853,8/7/17 14:35,Ella,44,Unknown,465.234,PlasmaSerum,1,,OOR>,,OOR>,8402127.218
CRP,4.358,689,31195,,,2.964,396964.74,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,13934641.51,733.368,4.358,737.726,13244451.16,702.067,4.358,706.425,12996383.22,690.659,4.358,695.017,3,,45,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,708.698,2.548,18.055,8/7/17 14:35,Ella,45,Unknown,713.056,PlasmaSerum,1,,OOR>,,OOR>,13391825.29
CRP,0.535,689,31195,,2245739.921,0.259,5820.239,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,,,,,2251560.16,119.827,0.535,120.362,2239919.683,119.159,0.535,119.694,2,,46,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,119.493,0.28,0.334,8/7/17 14:35,Ella,46,Unknown,120.028,PlasmaSerum,1,,IR,2495.267,IR,2245739.921
CRP,0.764,689,31195,,3043717.898,3.203,97492.872,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3026875.252,164.512,0.764,165.276,3170648.858,172.815,0.764,173.579,2933629.585,159.128,0.764,159.892,3,,47,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,165.485,3.402,5.63,8/7/17 14:35,Ella,47,Unknown,166.249,PlasmaSerum,1,,IR,3381.909,IR,3043717.898
CRP,0.646,689,31195,,1782639.741,0.908,16190.511,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1780609.999,92.918,0.646,93.565,1763903.433,91.97,0.646,92.616,1803405.791,94.213,0.646,94.86,3,,48,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,93.034,0.988,0.92,8/7/17 14:35,Ella,48,Unknown,93.68,PlasmaSerum,1,,IR,1980.711,IR,1782639.741
CRP,0.508,689,31195,,486098.762,2.455,11931.474,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,502050.228,23.041,0.508,23.548,482887.814,22.069,0.508,22.577,473358.244,21.588,0.508,22.095,3,,49,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,22.232,2.718,0.604,8/7/17 14:35,Ella,49,Unknown,22.74,PlasmaSerum,1,,IR,540.11,IR,486098.762
CRP,1.719,689,31195,,5902225.271,0.596,35172.365,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,5937397.636,330.418,1.719,332.137,,,,,5867052.906,326.496,1.719,328.215,2,,50,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,328.457,0.597,1.961,8/7/17 14:35,Ella,50,Unknown,330.176,PlasmaSerum,1,,IR,6558.028,IR,5902225.271
CRP,1.963,689,31195,,,1.956,231387.003,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,12145149.18,650.875,1.963,652.838,11734805.33,631.34,1.963,633.303,11601387.25,624.938,1.963,626.901,3,,51,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,635.718,1.735,11.032,8/7/17 14:35,Ella,51,Unknown,637.681,PlasmaSerum,1,,OOR>,,OOR>,11827113.92
CRP,4.179,689,31195,,,3.568,282636.109,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,8316195.76,459.432,4.179,463.611,7785600.631,431.295,4.179,435.473,7665767.215,424.887,4.179,429.066,3,,52,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,438.538,3.421,15.004,8/7/17 14:35,Ella,52,Unknown,442.717,PlasmaSerum,1,,OOR>,,OOR>,7922521.202
CRP,0.481,689,31195,,543993.22,2.077,11297.353,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,540291.877,24.991,0.481,25.472,559303.845,25.966,0.481,26.447,532383.939,24.586,0.481,25.068,3,,53,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,25.181,2.3,0.579,8/7/17 14:35,Ella,53,Unknown,25.662,PlasmaSerum,1,,IR,604.437,IR,543993.22
CRP,0.915,689,31195,,503144.116,2.31,11621.894,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,510793.018,23.485,0.915,24.4,511918.211,23.542,0.915,24.457,486721.119,22.263,0.915,23.178,3,,54,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,23.097,2.555,0.59,8/7/17 14:35,Ella,54,Unknown,24.011,PlasmaSerum,1,,IR,559.049,IR,503144.116
CRP,0.742,689,31195,,376796.753,1.402,5281.042,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,383015.41,17.079,0.742,17.821,377269.369,16.796,0.742,17.538,370105.479,16.444,0.742,17.186,3,,55,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,16.773,1.549,0.26,8/7/17 14:35,Ella,55,Unknown,17.515,PlasmaSerum,1,,IR,418.663,IR,376796.753
CRP,0.64,689,31195,,373645.462,2.949,11018.018,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,370991.717,16.487,0.64,17.127,361675.219,16.03,0.64,16.67,388269.451,17.338,0.64,17.978,3,,56,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,16.618,3.261,0.542,8/7/17 14:35,Ella,56,Unknown,17.259,PlasmaSerum,1,,IR,415.162,IR,373645.462
CRP,0.604,689,31195,,738633.801,1.41,10413.131,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,736236.086,35.197,0.604,35.801,727249.41,34.722,0.604,35.327,752415.909,36.053,0.604,36.658,3,,57,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,35.324,1.559,0.551,8/7/17 14:35,Ella,57,Unknown,35.929,PlasmaSerum,1,,IR,820.704,IR,738633.801
CRP,0.953,689,31195,,637366.778,1.608,10252.023,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,651857.793,30.763,0.953,31.716,629716.512,29.608,0.953,30.561,630526.028,29.65,0.953,30.604,3,,58,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,30.007,1.781,0.534,8/7/17 14:35,Ella,58,Unknown,30.96,PlasmaSerum,1,,IR,708.185,IR,637366.778
CRP,0.669,689,31195,,933599.041,1.463,13659.317,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,940790.284,46.147,0.669,46.816,914476.67,44.724,0.669,45.394,945530.168,46.403,0.669,47.073,3,,59,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,45.758,1.614,0.738,8/7/17 14:35,Ella,59,Unknown,46.428,PlasmaSerum,1,,IR,1037.332,IR,933599.041
CRP,0.541,689,31195,,420975.176,1.28,5387.88,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,416429.302,18.734,0.541,19.274,428543.881,19.338,0.541,19.878,417952.346,18.81,0.541,19.35,3,,60,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.96,1.416,0.269,8/7/17 14:35,Ella,60,Unknown,19.501,PlasmaSerum,1,,IR,467.75,IR,420975.176
CRP,0.562,689,31195,,792310.94,0.315,2499.385,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,792301.97,38.172,0.562,38.735,795376.524,38.336,0.562,38.898,789254.326,38.01,0.562,38.572,3,,61,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,38.173,0.349,0.133,8/7/17 14:35,Ella,61,Unknown,38.735,PlasmaSerum,1,,IR,880.345,IR,792310.94
CRP,0.631,689,31195,,347038.232,2.252,7814.201,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,357500.677,15.826,0.631,16.457,344888.494,15.21,0.631,15.842,338725.526,14.91,0.631,15.542,3,,62,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,15.315,2.488,0.381,8/7/17 14:35,Ella,62,Unknown,15.947,PlasmaSerum,1,,IR,385.598,IR,347038.232
CRP,0.51,689,31195,,547990.636,4.918,26950.671,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,585269.267,27.304,0.51,27.814,536224.149,24.783,0.51,25.293,522478.494,24.081,0.51,24.59,3,,63,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,25.389,5.451,1.384,8/7/17 14:35,Ella,63,Unknown,25.899,PlasmaSerum,1,,IR,608.878,IR,547990.636
CRP,0.525,689,31195,,306498.033,1.842,5645.4,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,313528.706,13.691,0.525,14.216,299706.566,13.026,0.525,13.552,306258.828,13.341,0.525,13.866,3,,64,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,13.353,2.032,0.271,8/7/17 14:35,Ella,64,Unknown,13.878,PlasmaSerum,1,,IR,340.553,IR,306498.033
CRP,2.551,689,31195,,2563117.017,2.495,63951.883,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2596516.347,139.676,2.551,142.227,2619205.596,140.984,2.551,143.535,2473629.108,132.596,2.551,135.148,3,,65,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,137.752,2.675,3.685,8/7/17 14:35,Ella,65,Unknown,140.303,PlasmaSerum,1,,IR,2847.908,IR,2563117.017
CRP,0.46,689,31195,,409168.883,4.208,17219.225,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,432848.616,19.553,0.46,20.012,402248.902,18.03,0.46,18.489,392409.132,17.542,0.46,18.002,3,,66,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.375,4.66,0.856,8/7/17 14:35,Ella,66,Unknown,18.835,PlasmaSerum,1,,IR,454.632,IR,409168.883
CRP,0.511,689,31195,,411913.853,1.064,4384.485,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,416285.452,18.727,0.511,19.238,413536.256,18.59,0.511,19.101,405919.852,18.212,0.511,18.723,3,,67,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.509,1.177,0.218,8/7/17 14:35,Ella,67,Unknown,19.021,PlasmaSerum,1,,IR,457.682,IR,411913.853
CRP,4.236,689,31195,,5524390.764,0.168,9287.197,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,5516317.037,306.86,4.236,311.096,5519456.047,307.036,4.236,311.272,5537399.208,308.044,4.236,312.28,3,,68,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,307.313,0.17,0.522,8/7/17 14:35,Ella,68,Unknown,311.549,PlasmaSerum,1,,IR,6138.212,IR,5524390.764
CRP,0.472,689,31195,,114034.332,4.196,4784.322,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,115293.672,4.596,0.472,5.068,119161.845,4.762,0.472,5.233,107647.479,4.27,0.472,4.742,3,,69,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,4.543,4.491,0.204,8/7/17 14:35,Ella,69,Unknown,5.014,PlasmaSerum,1,,IR,126.705,IR,114034.332
CRP,0.751,689,31195,,355969.973,2.173,7733.7,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,366665.343,16.275,0.751,17.026,352602.688,15.586,0.751,16.338,348641.889,15.393,0.751,16.144,3,,70,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,15.751,2.402,0.378,8/7/17 14:35,Ella,70,Unknown,16.503,PlasmaSerum,1,,IR,395.522,IR,355969.973
CRP,0.52,689,31195,,439403.04,2.371,10416.359,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,450891.241,20.457,0.52,20.976,441644.347,19.993,0.52,20.512,425673.531,19.194,0.52,19.714,3,,71,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,19.881,2.622,0.521,8/7/17 14:35,Ella,71,Unknown,20.401,PlasmaSerum,1,,IR,488.226,IR,439403.04
CRP,0.551,689,31195,,290854.454,1.239,3603.408,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,285968.648,12.37,0.551,12.921,294551.747,12.78,0.551,13.331,292042.967,12.66,0.551,13.211,3,,72,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,12.603,1.365,0.172,8/7/17 14:35,Ella,72,Unknown,13.154,PlasmaSerum,1,,IR,323.172,IR,290854.454