AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,InstrumentName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes
CCL2,0.451,689,32270,,,OOR>,1.949,24.704,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,1290.539,895.181,0.451,895.632,1233.075,878.709,0.451,879.16,1278.23,891.739,0.451,892.19,3,,1,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,888.543,0.798,7.094,6/20/2017 11:40,Ella,1,None,888.994,PlasmaSerum
IL-6,0.457,689,32270,,2516.638,IR,9.049,227.722,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,2687.196,391.961,0.457,392.418,2194.782,347.732,0.457,348.188,2667.935,390.36,0.457,390.816,3,,1,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,376.684,5.438,20.483,6/20/2017 11:40,Ella,1,None,377.141,PlasmaSerum
TNF-a,0.449,689,32270,,14.864,IR,0.877,0.13,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,15.046,2.494,0.449,2.943,14.803,2.458,0.449,2.907,14.745,2.449,0.449,2.898,3,,1,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,2.467,0.785,0.019,6/20/2017 11:40,Ella,1,None,2.916,PlasmaSerum
VEGF-A,0.455,689,32270,,9.885,IR,1.398,0.138,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,10.079,3.561,0.455,4.016,9.81,3.509,0.455,3.965,9.767,3.501,0.455,3.956,3,,1,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,3.524,0.752,0.027,6/20/2017 11:40,Ella,1,None,3.979,PlasmaSerum
CCL2,0.443,689,32270,,251.447,IR,0.447,1.124,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,253.025,293.609,0.443,294.051,250.819,291.169,0.443,291.612,250.496,290.811,0.443,291.254,3,,2,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,291.863,0.426,1.243,6/20/2017 11:40,Ella,2,None,292.306,PlasmaSerum
IL-6,0.439,689,32270,,300.499,IR,3.494,10.5,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,313.726,76.034,0.439,76.474,299.729,72.982,0.439,73.421,288.042,70.414,0.439,70.854,3,,2,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,73.143,3.141,2.297,6/20/2017 11:40,Ella,2,None,73.583,PlasmaSerum
TNF-a,0.435,689,32270,,4.244,IR,2.222,0.094,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,4.299,0.887,0.435,1.322,4.112,0.858,0.435,1.294,4.322,0.89,0.435,1.326,3,,2,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.879,1.62,0.014,6/20/2017 11:40,Ella,2,None,1.314,PlasmaSerum
VEGF-A,0.439,689,32270,,7.001,IR,8.188,0.573,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,6.19,2.81,0.439,3.249,7.41,3.047,0.439,3.485,7.402,3.045,0.439,3.484,3,,2,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,2.967,3.751,0.111,6/20/2017 11:40,Ella,2,None,3.406,PlasmaSerum
CCL2,0.454,689,32270,,43.178,IR,2.203,0.951,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,44.156,42.965,0.454,43.419,43.489,42.196,0.454,42.65,41.888,40.36,0.454,40.814,3,,3,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,41.841,2.612,1.093,6/20/2017 11:40,Ella,3,None,42.294,PlasmaSerum
IL-6,0.44,689,32270,,3.114,IR,9.756,0.304,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,3.494,1.098,0.44,1.538,3.096,0.984,0.44,1.424,2.751,0.885,0.44,1.324,3,,3,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.989,8.821,0.087,6/20/2017 11:40,Ella,3,None,1.429,PlasmaSerum
TNF-a,0.439,689,32270,,1.356,OOR<,10.661,0.145,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,1.502,0.463,0.439,0.902,1.159,0.411,0.439,0.85,1.407,0.449,0.439,0.888,3,,3,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.441,4.999,0.022,6/20/2017 11:40,Ella,3,None,0.88,PlasmaSerum
VEGF-A,0.45,689,32270,,3.486,OOR<,2.365,0.082,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,3.473,2.276,0.45,2.727,3.593,2.3,0.45,2.751,3.393,2.261,0.45,2.711,3,,3,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,2.279,0.717,0.016,6/20/2017 11:40,Ella,3,None,2.729,PlasmaSerum
CCL2,0.464,689,32270,,220.959,IR,1.498,3.311,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,225.234,262.384,0.464,262.848,217.167,253.122,0.464,253.586,220.475,256.931,0.464,257.395,3,,4,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,257.479,1.476,3.801,6/20/2017 11:40,Ella,4,None,257.943,PlasmaSerum
IL-6,0.46,689,32270,,199.286,IR,4.189,8.349,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,209.816,52.756,0.46,53.215,189.396,48.002,0.46,48.462,198.647,50.164,0.46,50.624,3,,4,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,50.307,3.863,1.943,6/20/2017 11:40,Ella,4,None,50.767,PlasmaSerum
TNF-a,0.45,689,32270,,1.998,IR,3.441,0.069,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,1.935,0.529,0.45,0.979,1.965,0.534,0.45,0.983,2.094,0.553,0.45,1.003,3,,4,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.539,1.939,0.01,6/20/2017 11:40,Ella,4,None,0.988,PlasmaSerum
VEGF-A,0.452,689,32270,,21.529,IR,1.359,0.293,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,21.382,5.697,0.452,6.149,21.266,5.676,0.452,6.128,21.937,5.801,0.452,6.253,3,,4,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,5.725,0.954,0.055,6/20/2017 11:40,Ella,4,None,6.177,PlasmaSerum
CCL2,0.463,689,32270,,8.832,IR,7.614,0.672,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,,,,,8.16,5.705,0.463,6.168,9.505,6.837,0.463,7.3,2,,5,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,6.271,9.022,0.566,6/20/2017 11:40,Ella,5,None,6.734,PlasmaSerum
IL-6,0.468,689,32270,,2911.739,IR,3.749,109.161,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,2962.098,413.804,0.468,414.273,2760.179,397.941,0.468,398.41,3012.94,417.648,0.468,418.116,3,,5,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,409.798,2.081,8.529,6/20/2017 11:40,Ella,5,None,410.266,PlasmaSerum
TNF-a,0.447,689,32270,,4.551,IR,3.814,0.174,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,4.792,0.961,0.447,1.408,4.39,0.9,0.447,1.348,4.471,0.913,0.447,1.36,3,,5,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.925,2.829,0.026,6/20/2017 11:40,Ella,5,None,1.372,PlasmaSerum
VEGF-A,0.455,689,32270,,11.347,IR,5.863,0.665,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,12.09,3.945,0.455,4.401,11.474,3.828,0.455,4.283,10.475,3.637,0.455,4.092,3,,5,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,3.803,3.342,0.127,6/20/2017 11:40,Ella,5,None,4.259,PlasmaSerum
CCL2,0.826,689,32270,,NaN,OOR>,NaN,NaN,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,NaN,1741.51,0.826,1742.336,NaN,1643.748,0.826,1644.573,NaN,1556.038,0.826,1556.863,3,,6,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,1647.099,4.599,75.756,6/20/2017 11:40,Ella,6,None,1647.924,PlasmaSerum
IL-6,0.861,689,32270,,9138.265,OOR>,6.2,566.593,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,8633.175,647.737,0.861,648.598,8852.104,652.55,0.861,653.411,9929.516,673.994,0.861,674.855,3,,6,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,658.093,1.734,11.414,6/20/2017 11:40,Ella,6,None,658.954,PlasmaSerum
TNF-a,0.796,689,32270,,23.601,IR,3.122,0.737,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,24.294,3.863,0.796,4.659,23.928,3.809,0.796,4.605,22.58,3.61,0.796,4.406,3,,6,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,3.761,2.892,0.109,6/20/2017 11:40,Ella,6,None,4.557,PlasmaSerum
VEGF-A,0.791,689,32270,,44.541,IR,1.04,0.463,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,44.915,10.018,0.791,10.809,43.888,9.832,0.791,10.623,44.82,10.001,0.791,10.792,3,,6,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,9.951,0.843,0.084,6/20/2017 11:40,Ella,6,None,10.741,PlasmaSerum
CCL2,0.814,689,32270,,95.056,IR,0.28,0.266,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,95.321,105.044,0.814,105.858,94.79,104.382,0.814,105.196,,,,,2,,7,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,104.713,0.316,0.331,6/20/2017 11:40,Ella,7,None,105.527,PlasmaSerum
IL-6,0.804,689,32270,,5.653,IR,1.499,0.085,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,5.743,1.737,0.804,2.542,5.677,1.719,0.804,2.523,5.539,1.68,0.804,2.484,3,,7,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,1.712,1.399,0.024,6/20/2017 11:40,Ella,7,None,2.516,PlasmaSerum
TNF-a,0.793,689,32270,,7.967,IR,3.211,0.256,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,8.163,1.467,0.793,2.26,7.605,1.384,0.793,2.177,8.132,1.463,0.793,2.256,3,,7,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,1.438,2.666,0.038,6/20/2017 11:40,Ella,7,None,2.231,PlasmaSerum
VEGF-A,0.828,689,32270,,31.4,IR,2.835,0.89,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,32.526,7.76,0.828,8.588,30.349,7.36,0.828,8.188,31.325,7.54,0.828,8.367,3,,7,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,7.553,2.167,0.164,6/20/2017 11:40,Ella,7,None,8.381,PlasmaSerum
CCL2,0.791,689,32270,,44.563,IR,0.922,0.411,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,45.069,44.021,0.791,44.811,44.557,43.428,0.791,44.219,44.063,42.858,0.791,43.648,3,,8,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,43.435,1.093,0.475,6/20/2017 11:40,Ella,8,None,44.226,PlasmaSerum
IL-6,0.783,689,32270,,3.015,IR,4.948,0.149,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,3.17,1.005,0.783,1.788,3.061,0.974,0.783,1.757,2.813,0.903,0.783,1.686,3,,8,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.961,4.465,0.043,6/20/2017 11:40,Ella,8,None,1.743,PlasmaSerum
